lambda (min),F
0,0
0.5,0.13965
1,0.25965
1.5,0.36315
2,0.45255
2.5,0.52935
3,0.5955
3.5,0.65205
4,0.7005
4.5,0.7425
5,0.77865
5.5,0.8097
6,0.8364
6.5,0.85965
7,0.8799
7.5,0.8973
8,0.91215
8.5,0.9246
9,0.93555
9.5,0.94515
10,0.95295
10.5,0.9594
11,0.9651
11.5,0.9705
12,0.97515
12.5,0.9789
13,0.9825
13.5,0.9855
14,0.98805
14.5,0.9903
15,0.99225
15.5,0.99435
16,0.99585
16.5,0.99675
17,0.99765
17.5,0.99855
18,0.9993
18.5,0.9996
19,0.9996
19.5,0.99975
20,1.00005
20.5,1.0005
21,1.0008
21.5,1.0008
22,1.00095
22.5,1.0011
23,1.0011
23.5,1.00125
24,1.00155
24.5,1.0017
25,1.0017
