tau,yAin,CZout
30.0,0.1,0.42
30.0,0.2,0.94
30.0,0.3,1.54
30.0,0.4,2.15
30.0,0.5,2.82
30.0,0.6,3.07
30.0,0.7,3.06
30.0,0.8,2.91
30.0,0.9,1.93
40.0,0.1,0.43
40.0,0.2,1.25
40.0,0.3,2.26
40.0,0.4,2.96
40.0,0.5,3.81
40.0,0.6,4.31
40.0,0.7,4.26
40.0,0.8,3.69
40.0,0.9,2.64
50.0,0.1,0.72
50.0,0.2,1.44
50.0,0.3,2.52
50.0,0.4,3.55
50.0,0.5,4.49
50.0,0.6,5.09
50.0,0.7,5.18
50.0,0.8,4.54
50.0,0.9,2.96
60.0,0.1,0.83
60.0,0.2,1.96
60.0,0.3,2.84
60.0,0.4,4.2
60.0,0.5,5.17
60.0,0.6,5.93
60.0,0.7,5.96
60.0,0.8,5.27
60.0,0.9,3.24
