VFR,CAin,CYin,CZin,CA
0.5,0.01,0.0,0.0,0.0068
0.5,0.01,0.0,0.01,0.0067
0.5,0.01,0.0,0.02,0.0071
0.5,0.01,0.0,0.03,0.0074
0.5,0.01,0.01,0.0,0.0071
0.5,0.01,0.01,0.01,0.0082
0.5,0.01,0.01,0.02,0.0092
0.5,0.01,0.01,0.03,0.0099
0.5,0.01,0.02,0.0,0.0073
0.5,0.01,0.02,0.01,0.009
0.5,0.01,0.02,0.02,0.0106
0.5,0.01,0.02,0.03,0.0117
0.5,0.01,0.03,0.0,0.0072
0.5,0.01,0.03,0.01,0.01
0.5,0.01,0.03,0.02,0.0119
0.5,0.01,0.03,0.03,0.014
0.5,0.02,0.0,0.0,0.0118
0.5,0.02,0.0,0.01,0.012
0.5,0.02,0.0,0.02,0.0122
0.5,0.02,0.0,0.03,0.0128
0.5,0.02,0.01,0.0,0.0126
0.5,0.02,0.01,0.01,0.0121
0.5,0.02,0.01,0.02,0.0144
0.5,0.02,0.01,0.03,0.0142
0.5,0.02,0.02,0.0,0.0116
0.5,0.02,0.02,0.01,0.0144
0.5,0.02,0.02,0.02,0.0154
0.5,0.02,0.02,0.03,0.0164
0.5,0.02,0.03,0.0,0.0128
0.5,0.02,0.03,0.01,0.0143
0.5,0.02,0.03,0.02,0.0174
0.5,0.02,0.03,0.03,0.0187
0.5,0.03,0.0,0.0,0.0156
0.5,0.03,0.0,0.01,0.0146
0.5,0.03,0.0,0.02,0.0174
0.5,0.03,0.0,0.03,0.0173
0.5,0.03,0.01,0.0,0.0149
0.5,0.03,0.01,0.01,0.0158
0.5,0.03,0.01,0.02,0.0186
0.5,0.03,0.01,0.03,0.0201
0.5,0.03,0.02,0.0,0.0182
0.5,0.03,0.02,0.01,0.0195
0.5,0.03,0.02,0.02,0.0196
0.5,0.03,0.02,0.03,0.0204
0.5,0.03,0.03,0.0,0.0166
0.5,0.03,0.03,0.01,0.0201
0.5,0.03,0.03,0.02,0.0214
0.5,0.03,0.03,0.03,0.0239
1.0,0.01,0.0,0.0,0.0073
1.0,0.01,0.0,0.01,0.0073
1.0,0.01,0.0,0.02,0.0075
1.0,0.01,0.0,0.03,0.0083
1.0,0.01,0.01,0.0,0.0081
1.0,0.01,0.01,0.01,0.0082
1.0,0.01,0.01,0.02,0.0096
1.0,0.01,0.01,0.03,0.0096
1.0,0.01,0.02,0.0,0.0075
1.0,0.01,0.02,0.01,0.0091
1.0,0.01,0.02,0.02,0.0103
1.0,0.01,0.02,0.03,0.0113
1.0,0.01,0.03,0.0,0.0078
1.0,0.01,0.03,0.01,0.0103
1.0,0.01,0.03,0.02,0.0113
1.0,0.01,0.03,0.03,0.0129
1.0,0.02,0.0,0.0,0.0134
1.0,0.02,0.0,0.01,0.013
1.0,0.02,0.0,0.02,0.0129
1.0,0.02,0.0,0.03,0.0138
1.0,0.02,0.01,0.0,0.0136
1.0,0.02,0.01,0.01,0.0134
1.0,0.02,0.01,0.02,0.0148
1.0,0.02,0.01,0.03,0.015
1.0,0.02,0.02,0.0,0.0129
