T,PA0,PB0,t,fA
475.0,0.5,0.5,0.5,0.019
475.0,0.5,0.5,1.0,0.036
475.0,0.5,0.5,1.5,0.052
475.0,0.5,0.5,2.0,0.054
475.0,0.5,0.5,2.5,0.081
475.0,0.5,0.5,5.0,0.139
475.0,0.5,0.5,10.0,0.247
475.0,0.5,1.0,0.5,0.026
475.0,0.5,1.0,1.0,0.069
475.0,0.5,1.0,1.5,0.097
475.0,0.5,1.0,2.0,0.123
475.0,0.5,1.0,2.5,0.148
475.0,0.5,1.0,5.0,0.274
475.0,0.5,1.0,10.0,0.451
475.0,0.5,1.5,0.5,0.056
475.0,0.5,1.5,1.0,0.104
475.0,0.5,1.5,1.5,0.145
475.0,0.5,1.5,2.0,0.177
475.0,0.5,1.5,2.5,0.213
475.0,0.5,1.5,5.0,0.378
475.0,0.5,1.5,10.0,0.582
475.0,1.0,0.5,0.5,0.02
475.0,1.0,0.5,1.0,0.037
475.0,1.0,0.5,1.5,0.038
475.0,1.0,0.5,2.0,0.07
475.0,1.0,0.5,2.5,0.069
475.0,1.0,0.5,5.0,0.126
475.0,1.0,0.5,10.0,0.22
475.0,1.0,1.0,0.5,0.029
475.0,1.0,1.0,1.0,0.053
475.0,1.0,1.0,1.5,0.084
475.0,1.0,1.0,2.0,0.111
475.0,1.0,1.0,2.5,0.15
475.0,1.0,1.0,5.0,0.258
475.0,1.0,1.0,10.0,0.405
475.0,1.0,1.5,0.5,0.053
475.0,1.0,1.5,1.0,0.083
475.0,1.0,1.5,1.5,0.142
475.0,1.0,1.5,2.0,0.174
475.0,1.0,1.5,2.5,0.208
475.0,1.0,1.5,5.0,0.35
475.0,1.0,1.5,10.0,0.554
475.0,1.5,0.5,0.5,0.013
475.0,1.5,0.5,1.0,0.031
475.0,1.5,0.5,1.5,0.049
475.0,1.5,0.5,2.0,0.058
475.0,1.5,0.5,2.5,0.072
475.0,1.5,0.5,5.0,0.124
475.0,1.5,0.5,10.0,0.196
475.0,1.5,1.0,0.5,0.029
475.0,1.5,1.0,1.0,0.054
475.0,1.5,1.0,1.5,0.087
475.0,1.5,1.0,2.0,0.123
475.0,1.5,1.0,2.5,0.148
475.0,1.5,1.0,5.0,0.236
475.0,1.5,1.0,10.0,0.355
475.0,1.5,1.5,0.5,0.045
475.0,1.5,1.5,1.0,0.09
475.0,1.5,1.5,1.5,0.14
475.0,1.5,1.5,2.0,0.168
475.0,1.5,1.5,2.5,0.198
475.0,1.5,1.5,5.0,0.33
475.0,1.5,1.5,10.0,0.492
500.0,0.5,0.5,0.5,0.018
500.0,0.5,0.5,1.0,0.055
500.0,0.5,0.5,1.5,0.084
500.0,0.5,0.5,2.0,0.105
500.0,0.5,0.5,2.5,0.116
500.0,0.5,0.5,5.0,0.213
500.0,0.5,0.5,10.0,0.35
500.0,0.5,1.0,0.5,0.045
500.0,0.5,1.0,1.0,0.096
500.0,0.5,1.0,1.5,0.146
500.0,0.5,1.0,2.0,0.199
500.0,0.5,1.0,2.5,0.23
500.0,0.5,1.0,5.0,0.392
500.0,0.5,1.0,10.0,0.596
500.0,0.5,1.5,0.5,0.069
500.0,0.5,1.5,1.0,0.156
500.0,0.5,1.5,1.5,0.214
500.0,0.5,1.5,2.0,0.268
500.0,0.5,1.5,2.5,0.331
500.0,0.5,1.5,5.0,0.525
500.0,0.5,1.5,10.0,0.754
500.0,1.0,0.5,0.5,0.031
500.0,1.0,0.5,1.0,0.061
500.0,1.0,0.5,1.5,0.068
500.0,1.0,0.5,2.0,0.096
500.0,1.0,0.5,2.5,0.117
500.0,1.0,0.5,5.0,0.204
500.0,1.0,0.5,10.0,0.302
500.0,1.0,1.0,0.5,0.049
500.0,1.0,1.0,1.0,0.106
500.0,1.0,1.0,1.5,0.149
500.0,1.0,1.0,2.0,0.176
500.0,1.0,1.0,2.5,0.222
500.0,1.0,1.0,5.0,0.36
500.0,1.0,1.0,10.0,0.525
500.0,1.0,1.5,0.5,0.088
500.0,1.0,1.5,1.0,0.153
500.0,1.0,1.5,1.5,0.21
500.0,1.0,1.5,2.0,0.255
500.0,1.0,1.5,2.5,0.309
500.0,1.0,1.5,5.0,0.491
500.0,1.0,1.5,10.0,0.699
500.0,1.5,0.5,0.5,0.033
500.0,1.5,0.5,1.0,0.057
500.0,1.5,0.5,1.5,0.069
500.0,1.5,0.5,2.0,0.082
500.0,1.5,0.5,2.5,0.106
500.0,1.5,0.5,5.0,0.167
500.0,1.5,0.5,10.0,0.244
500.0,1.5,1.0,0.5,0.053
500.0,1.5,1.0,1.0,0.103
500.0,1.5,1.0,1.5,0.136
500.0,1.5,1.0,2.0,0.166
500.0,1.5,1.0,2.5,0.198
500.0,1.5,1.0,5.0,0.33
500.0,1.5,1.0,10.0,0.465
500.0,1.5,1.5,0.5,0.086
500.0,1.5,1.5,1.0,0.146
500.0,1.5,1.5,1.5,0.192
500.0,1.5,1.5,2.0,0.252
500.0,1.5,1.5,2.5,0.293
500.0,1.5,1.5,5.0,0.451
500.0,1.5,1.5,10.0,0.635
525.0,0.5,0.5,0.5,0.046
