A_in,Y_in,Z_in,fA
30.0,0.0,0.0,99.9
30.0,0.0,50.0,93.8
30.0,0.0,100.0,83.8
30.0,0.0,150.0,75.1
30.0,50.0,0.0,91.5
30.0,50.0,50.0,82.1
30.0,50.0,100.0,74.2
30.0,50.0,150.0,64.7
30.0,100.0,0.0,81.8
30.0,100.0,50.0,72.9
30.0,100.0,100.0,66.2
30.0,100.0,150.0,60.8
30.0,150.0,0.0,74.7
30.0,150.0,50.0,67.9
30.0,150.0,100.0,61.1
30.0,150.0,150.0,52.3
60.0,0.0,0.0,94.1
60.0,0.0,50.0,83.6
60.0,0.0,100.0,74.1
60.0,0.0,150.0,67.8
60.0,50.0,0.0,85.5
60.0,50.0,50.0,75.2
60.0,50.0,100.0,67.0
60.0,50.0,150.0,60.6
60.0,100.0,0.0,77.0
60.0,100.0,50.0,67.9
60.0,100.0,100.0,60.5
60.0,100.0,150.0,55.7
60.0,150.0,0.0,69.2
60.0,150.0,50.0,59.8
60.0,150.0,100.0,53.4
60.0,150.0,150.0,50.0
90.0,0.0,0.0,83.7
90.0,0.0,50.0,76.2
90.0,0.0,100.0,68.9
90.0,0.0,150.0,63.8
90.0,50.0,0.0,75.4
90.0,50.0,50.0,68.0
90.0,50.0,100.0,61.5
90.0,50.0,150.0,55.8
90.0,100.0,0.0,67.4
90.0,100.0,50.0,60.8
90.0,100.0,100.0,56.6
90.0,100.0,150.0,50.6
90.0,150.0,0.0,62.4
90.0,150.0,50.0,57.7
90.0,150.0,100.0,52.0
90.0,150.0,150.0,48.1
120.0,0.0,0.0,77.4
120.0,0.0,50.0,71.1
120.0,0.0,100.0,62.5
120.0,0.0,150.0,55.6
120.0,50.0,0.0,68.6
120.0,50.0,50.0,64.1
120.0,50.0,100.0,55.9
120.0,50.0,150.0,54.1
120.0,100.0,0.0,62.5
120.0,100.0,50.0,57.4
120.0,100.0,100.0,54.0
120.0,100.0,150.0,47.8
120.0,150.0,0.0,57.6
120.0,150.0,50.0,53.2
120.0,150.0,100.0,48.4
120.0,150.0,150.0,42.4
150.0,0.0,0.0,69.4
150.0,0.0,50.0,64.7
150.0,0.0,100.0,57.7
150.0,0.0,150.0,52.9
150.0,50.0,0.0,66.0
150.0,50.0,50.0,59.4
150.0,50.0,100.0,55.1
150.0,50.0,150.0,47.6
150.0,100.0,0.0,58.3
150.0,100.0,50.0,51.7
150.0,100.0,100.0,47.1
150.0,100.0,150.0,47.3
150.0,150.0,0.0,53.4
150.0,150.0,50.0,47.3
150.0,150.0,100.0,43.3
150.0,150.0,150.0,43.5
180.0,0.0,0.0,64.3
180.0,0.0,50.0,58.9
180.0,0.0,100.0,53.2
180.0,0.0,150.0,49.6
180.0,50.0,0.0,60.8
180.0,50.0,50.0,56.3
180.0,50.0,100.0,51.9
180.0,50.0,150.0,47.3
180.0,100.0,0.0,54.5
180.0,100.0,50.0,50.1
180.0,100.0,100.0,45.6
180.0,100.0,150.0,43.0
180.0,150.0,0.0,49.6
180.0,150.0,50.0,48.0
180.0,150.0,100.0,42.9
180.0,150.0,150.0,41.2
210.0,0.0,0.0,61.4
210.0,0.0,50.0,55.1
210.0,0.0,100.0,50.0
210.0,0.0,150.0,47.8
210.0,50.0,0.0,55.8
210.0,50.0,50.0,51.8
210.0,50.0,100.0,48.0
210.0,50.0,150.0,43.2
210.0,100.0,0.0,50.7
210.0,100.0,50.0,47.2
210.0,100.0,100.0,45.5
210.0,100.0,150.0,42.2
210.0,150.0,0.0,47.9
210.0,150.0,50.0,42.3
210.0,150.0,100.0,38.9
210.0,150.0,150.0,36.6
240.0,0.0,0.0,58.4
240.0,0.0,50.0,51.2
240.0,0.0,100.0,46.7
240.0,0.0,150.0,44.3
240.0,50.0,0.0,51.0
240.0,50.0,50.0,46.0
240.0,50.0,100.0,45.9
240.0,50.0,150.0,43.3
240.0,100.0,0.0,48.1
240.0,100.0,50.0,45.4
240.0,100.0,100.0,42.2
240.0,100.0,150.0,37.3
240.0,150.0,0.0,43.9
240.0,150.0,50.0,39.4
240.0,150.0,100.0,39.8
240.0,150.0,150.0,35.4
270.0,0.0,0.0,53.1
270.0,0.0,50.0,48.7
270.0,0.0,100.0,46.5
270.0,0.0,150.0,43.4
270.0,50.0,0.0,49.4
270.0,50.0,50.0,46.7
270.0,50.0,100.0,43.6
270.0,50.0,150.0,40.7
270.0,100.0,0.0,46.7
270.0,100.0,50.0,42.6
270.0,100.0,100.0,38.7
270.0,100.0,150.0,37.8
270.0,150.0,0.0,40.4
270.0,150.0,50.0,41.1
270.0,150.0,100.0,38.8
270.0,150.0,150.0,35.6
300.0,0.0,0.0,49.4
300.0,0.0,50.0,45.0
300.0,0.0,100.0,43.4
300.0,0.0,150.0,38.8
300.0,50.0,0.0,44.5
300.0,50.0,50.0,41.6
300.0,50.0,100.0,41.7
300.0,50.0,150.0,37.3
300.0,100.0,0.0,43.1
300.0,100.0,50.0,38.7
300.0,100.0,100.0,36.6
300.0,100.0,150.0,36.6
300.0,150.0,0.0,40.9
300.0,150.0,50.0,36.5
300.0,150.0,100.0,36.5
300.0,150.0,150.0,32.2
