yA,yB,yY,yZ,PA
0.3,0.231,0.155,0.314,0.254
0.3,0.231,0.234,0.234,0.263
0.3,0.231,0.31,0.159,0.262
0.3,0.35,0.115,0.234,0.252
0.3,0.35,0.175,0.175,0.245
0.3,0.35,0.231,0.119,0.251
0.3,0.462,0.079,0.159,0.233
0.3,0.462,0.119,0.119,0.237
0.3,0.462,0.157,0.081,0.255
0.4,0.198,0.133,0.269,0.335
0.4,0.198,0.201,0.201,0.346
0.4,0.198,0.265,0.137,0.357
0.4,0.3,0.099,0.201,0.322
0.4,0.3,0.15,0.15,0.349
0.4,0.3,0.198,0.102,0.349
0.4,0.396,0.067,0.137,0.309
0.4,0.396,0.102,0.102,0.324
0.4,0.396,0.135,0.069,0.336
0.5,0.165,0.111,0.224,0.433
0.5,0.165,0.167,0.167,0.445
0.5,0.165,0.221,0.114,0.454
0.5,0.25,0.082,0.167,0.416
0.5,0.25,0.125,0.125,0.434
0.5,0.25,0.165,0.085,0.428
0.5,0.33,0.056,0.114,0.409
0.5,0.33,0.085,0.085,0.406
0.5,0.33,0.112,0.058,0.421
0.6,0.132,0.088,0.18,0.522
0.6,0.132,0.134,0.134,0.539
0.6,0.132,0.177,0.091,0.545
0.6,0.2,0.066,0.134,0.502
0.6,0.2,0.1,0.1,0.52
0.6,0.2,0.132,0.068,0.526
0.6,0.264,0.045,0.091,0.479
0.6,0.264,0.068,0.068,0.501
0.6,0.264,0.09,0.046,0.501
0.7,0.099,0.066,0.135,0.608
0.7,0.099,0.101,0.101,0.615
0.7,0.099,0.133,0.068,0.62
0.7,0.15,0.05,0.1,0.587
0.7,0.15,0.075,0.075,0.609
0.7,0.15,0.099,0.051,0.618
0.7,0.198,0.034,0.068,0.568
0.7,0.198,0.051,0.051,0.584
0.7,0.198,0.067,0.035,0.599
