Experiment,T,CA0,t,CA
1.0,65.0,0.5,5.0,0.47
1.0,65.0,0.5,10.0,0.44
1.0,65.0,0.5,15.0,0.41
1.0,65.0,0.5,20.0,0.38
1.0,65.0,0.5,25.0,0.36
1.0,65.0,0.5,30.0,0.33
2.0,73.0,0.5,5.0,0.44
2.0,73.0,0.5,10.0,0.4
2.0,73.0,0.5,15.0,0.36
2.0,73.0,0.5,20.0,0.32
2.0,73.0,0.5,25.0,0.28
2.0,73.0,0.5,30.0,0.25
3.0,82.0,0.5,5.0,0.41
3.0,82.0,0.5,10.0,0.33
3.0,82.0,0.5,15.0,0.26
3.0,82.0,0.5,20.0,0.22
3.0,82.0,0.5,25.0,0.17
3.0,82.0,0.5,30.0,0.14
4.0,90.0,0.5,5.0,0.35
4.0,90.0,0.5,10.0,0.24
4.0,90.0,0.5,15.0,0.17
4.0,90.0,0.5,20.0,0.12
4.0,90.0,0.5,25.0,0.09
4.0,90.0,0.5,30.0,0.05
5.0,65.0,1.0,5.0,0.94
5.0,65.0,1.0,10.0,0.88
5.0,65.0,1.0,15.0,0.82
5.0,65.0,1.0,20.0,0.77
5.0,65.0,1.0,25.0,0.71
5.0,65.0,1.0,30.0,0.67
6.0,73.0,1.0,5.0,0.89
6.0,73.0,1.0,10.0,0.8
6.0,73.0,1.0,15.0,0.71
6.0,73.0,1.0,20.0,0.63
6.0,73.0,1.0,25.0,0.55
6.0,73.0,1.0,30.0,0.5
7.0,82.0,1.0,5.0,0.8
7.0,82.0,1.0,10.0,0.65
7.0,82.0,1.0,15.0,0.52
7.0,82.0,1.0,20.0,0.43
7.0,82.0,1.0,25.0,0.34
7.0,82.0,1.0,30.0,0.27
8.0,90.0,1.0,5.0,0.7
8.0,90.0,1.0,10.0,0.5
8.0,90.0,1.0,15.0,0.35
8.0,90.0,1.0,20.0,0.24
8.0,90.0,1.0,25.0,0.17
8.0,90.0,1.0,30.0,0.12
9.0,65.0,1.5,5.0,1.41
9.0,65.0,1.5,10.0,1.3
9.0,65.0,1.5,15.0,1.23
9.0,65.0,1.5,20.0,1.14
9.0,65.0,1.5,25.0,1.07
9.0,65.0,1.5,30.0,1.0
10.0,73.0,1.5,5.0,1.34
10.0,73.0,1.5,10.0,1.18
10.0,73.0,1.5,15.0,1.06
10.0,73.0,1.5,20.0,0.95
10.0,73.0,1.5,25.0,0.85
10.0,73.0,1.5,30.0,0.75
11.0,82.0,1.5,5.0,1.21
11.0,82.0,1.5,10.0,0.98
11.0,82.0,1.5,15.0,0.79
11.0,82.0,1.5,20.0,0.64
11.0,82.0,1.5,25.0,0.53
11.0,82.0,1.5,30.0,0.43
12.0,90.0,1.5,5.0,1.07
12.0,90.0,1.5,10.0,0.75
12.0,90.0,1.5,15.0,0.53
12.0,90.0,1.5,20.0,0.36
12.0,90.0,1.5,25.0,0.27
12.0,90.0,1.5,30.0,0.18
