PA0,t,P
2.0,1.0,5.73
2.0,2.0,5.53
2.0,3.0,5.29
2.0,4.0,5.18
2.0,5.0,5.01
2.0,6.0,4.94
2.0,7.0,4.77
2.0,8.0,4.73
2.0,9.0,4.67
2.0,10.0,4.58
2.0,11.0,4.48
2.0,12.0,4.41
2.0,13.0,4.4
2.0,14.0,4.38
2.0,15.0,4.29
2.0,16.0,4.28
2.0,17.0,4.29
2.0,18.0,4.2
2.0,19.0,4.19
2.0,20.0,4.18
2.0,21.0,4.17
2.0,22.0,4.1
2.0,23.0,4.18
2.0,24.0,4.11
3.0,1.0,5.63
3.0,2.0,5.35
3.0,3.0,5.08
3.0,4.0,4.89
3.0,5.0,4.71
3.0,6.0,4.57
3.0,7.0,4.43
3.0,8.0,4.35
3.0,9.0,4.21
3.0,10.0,4.12
3.0,11.0,4.09
3.0,12.0,3.99
3.0,13.0,3.86
3.0,14.0,3.87
3.0,15.0,3.81
3.0,16.0,3.79
3.0,17.0,3.73
3.0,18.0,3.67
3.0,19.0,3.62
3.0,20.0,3.62
3.0,21.0,3.51
3.0,22.0,3.48
3.0,23.0,3.53
3.0,24.0,3.5
4.0,1.0,5.64
4.0,2.0,5.29
4.0,3.0,5.06
4.0,4.0,4.9
4.0,5.0,4.67
4.0,6.0,4.55
4.0,7.0,4.45
4.0,8.0,4.34
4.0,9.0,4.22
4.0,10.0,4.16
4.0,11.0,4.05
4.0,12.0,4.03
4.0,13.0,4.06
4.0,14.0,3.97
4.0,15.0,4.04
4.0,16.0,4.03
4.0,17.0,3.98
4.0,18.0,3.96
4.0,19.0,4.02
4.0,20.0,3.95
4.0,21.0,3.96
4.0,22.0,4.01
4.0,23.0,3.96
4.0,24.0,3.99
