CS0,t,CP
15.0,5.0,0.87
15.0,10.0,1.22
15.0,15.0,1.62
15.0,20.0,2.29
15.0,25.0,2.73
15.0,30.0,3.06
15.0,35.0,3.09
15.0,40.0,3.84
15.0,45.0,4.15
15.0,50.0,4.95
15.0,55.0,5.71
15.0,60.0,5.97
15.0,65.0,6.59
15.0,70.0,7.15
15.0,75.0,7.51
15.0,80.0,7.7
15.0,85.0,8.15
15.0,90.0,8.72
15.0,95.0,9.3
15.0,100.0,9.25
15.0,105.0,9.47
15.0,110.0,9.9
15.0,115.0,10.5
15.0,120.0,10.7
10.0,5.0,0.22
10.0,10.0,1.01
10.0,15.0,1.44
10.0,20.0,2.12
10.0,25.0,2.11
10.0,30.0,2.95
10.0,35.0,3.54
10.0,40.0,3.47
10.0,45.0,3.91
10.0,50.0,4.47
10.0,55.0,5.25
10.0,60.0,5.66
10.0,65.0,5.71
10.0,70.0,6.43
10.0,75.0,6.61
10.0,80.0,6.45
10.0,85.0,7.33
10.0,90.0,7.11
10.0,95.0,7.75
10.0,100.0,8.26
10.0,105.0,7.99
10.0,110.0,8.36
10.0,115.0,8.93
10.0,120.0,9.31
5.0,5.0,0.02
5.0,10.0,0.8
5.0,15.0,0.93
5.0,20.0,1.4
5.0,25.0,1.7
5.0,30.0,1.86
5.0,35.0,2.75
5.0,40.0,2.59
5.0,45.0,3.23
5.0,50.0,3.78
5.0,55.0,3.83
5.0,60.0,4.1
5.0,65.0,4.4
5.0,70.0,4.33
5.0,75.0,4.05
5.0,80.0,4.17
5.0,85.0,4.43
5.0,90.0,4.74
5.0,95.0,4.69
5.0,100.0,4.46
5.0,105.0,4.8
5.0,110.0,5.06
5.0,115.0,5.12
5.0,120.0,4.68
