Experiment,T,CA0,tf,CAf
1.0,65.0,0.5,5.0,0.47
1.0,65.0,0.5,10.0,0.45
1.0,65.0,0.5,15.0,0.41
1.0,65.0,0.5,20.0,0.38
1.0,65.0,0.5,25.0,0.36
1.0,65.0,0.5,30.0,0.33
2.0,73.0,0.5,5.0,0.45
2.0,73.0,0.5,10.0,0.4
2.0,73.0,0.5,15.0,0.35
2.0,73.0,0.5,20.0,0.31
2.0,73.0,0.5,25.0,0.29
2.0,73.0,0.5,30.0,0.25
3.0,82.0,0.5,5.0,0.4
3.0,82.0,0.5,10.0,0.33
3.0,82.0,0.5,15.0,0.27
3.0,82.0,0.5,20.0,0.22
3.0,82.0,0.5,25.0,0.18
3.0,82.0,0.5,30.0,0.13
4.0,90.0,0.5,5.0,0.36
4.0,90.0,0.5,10.0,0.25
4.0,90.0,0.5,15.0,0.18
4.0,90.0,0.5,20.0,0.13
4.0,90.0,0.5,25.0,0.09
4.0,90.0,0.5,30.0,0.06
5.0,65.0,1.0,5.0,0.93
5.0,65.0,1.0,10.0,0.88
5.0,65.0,1.0,15.0,0.82
5.0,65.0,1.0,20.0,0.76
5.0,65.0,1.0,25.0,0.72
5.0,65.0,1.0,30.0,0.66
6.0,73.0,1.0,5.0,0.89
6.0,73.0,1.0,10.0,0.8
6.0,73.0,1.0,15.0,0.71
6.0,73.0,1.0,20.0,0.63
6.0,73.0,1.0,25.0,0.55
6.0,73.0,1.0,30.0,0.5
7.0,82.0,1.0,5.0,0.81
7.0,82.0,1.0,10.0,0.66
7.0,82.0,1.0,15.0,0.53
7.0,82.0,1.0,20.0,0.43
7.0,82.0,1.0,25.0,0.34
7.0,82.0,1.0,30.0,0.29
8.0,90.0,1.0,5.0,0.7
8.0,90.0,1.0,10.0,0.5
8.0,90.0,1.0,15.0,0.35
8.0,90.0,1.0,20.0,0.25
8.0,90.0,1.0,25.0,0.18
8.0,90.0,1.0,30.0,0.12
9.0,65.0,1.5,5.0,1.4
9.0,65.0,1.5,10.0,1.3
9.0,65.0,1.5,15.0,1.23
9.0,65.0,1.5,20.0,1.15
9.0,65.0,1.5,25.0,1.08
9.0,65.0,1.5,30.0,1.0
10.0,73.0,1.5,5.0,1.33
10.0,73.0,1.5,10.0,1.19
10.0,73.0,1.5,15.0,1.06
10.0,73.0,1.5,20.0,0.94
10.0,73.0,1.5,25.0,0.84
10.0,73.0,1.5,30.0,0.74
11.0,82.0,1.5,5.0,1.22
11.0,82.0,1.5,10.0,0.98
11.0,82.0,1.5,15.0,0.81
11.0,82.0,1.5,20.0,0.64
11.0,82.0,1.5,25.0,0.52
11.0,82.0,1.5,30.0,0.42
12.0,90.0,1.5,5.0,1.06
12.0,90.0,1.5,10.0,0.74
12.0,90.0,1.5,15.0,0.52
12.0,90.0,1.5,20.0,0.37
12.0,90.0,1.5,25.0,0.25
12.0,90.0,1.5,30.0,0.19
