T,PA0,PB0,tf,fA
475.0,0.5,0.5,0.5,0.022
475.0,0.5,0.5,1.0,0.031
475.0,0.5,0.5,1.5,0.049
475.0,0.5,0.5,2.0,0.06
475.0,0.5,0.5,2.5,0.078
475.0,0.5,0.5,5.0,0.135
475.0,0.5,0.5,10.0,0.259
475.0,0.5,1.0,0.5,0.025
475.0,0.5,1.0,1.0,0.061
475.0,0.5,1.0,1.5,0.09
475.0,0.5,1.0,2.0,0.132
475.0,0.5,1.0,2.5,0.142
475.0,0.5,1.0,5.0,0.272
475.0,0.5,1.0,10.0,0.441
475.0,0.5,1.5,0.5,0.055
475.0,0.5,1.5,1.0,0.091
475.0,0.5,1.5,1.5,0.146
475.0,0.5,1.5,2.0,0.177
475.0,0.5,1.5,2.5,0.218
475.0,0.5,1.5,5.0,0.378
475.0,0.5,1.5,10.0,0.588
475.0,1.0,0.5,0.5,0.019
475.0,1.0,0.5,1.0,0.026
475.0,1.0,0.5,1.5,0.056
475.0,1.0,0.5,2.0,0.058
475.0,1.0,0.5,2.5,0.07
475.0,1.0,0.5,5.0,0.129
475.0,1.0,0.5,10.0,0.226
475.0,1.0,1.0,0.5,0.038
475.0,1.0,1.0,1.0,0.066
475.0,1.0,1.0,1.5,0.084
475.0,1.0,1.0,2.0,0.122
475.0,1.0,1.0,2.5,0.151
475.0,1.0,1.0,5.0,0.249
475.0,1.0,1.0,10.0,0.394
475.0,1.0,1.5,0.5,0.051
475.0,1.0,1.5,1.0,0.095
475.0,1.0,1.5,1.5,0.132
475.0,1.0,1.5,2.0,0.176
475.0,1.0,1.5,2.5,0.216
475.0,1.0,1.5,5.0,0.355
475.0,1.0,1.5,10.0,0.549
475.0,1.5,0.5,0.5,0.026
475.0,1.5,0.5,1.0,0.041
475.0,1.5,0.5,1.5,0.048
475.0,1.5,0.5,2.0,0.062
475.0,1.5,0.5,2.5,0.078
475.0,1.5,0.5,5.0,0.126
475.0,1.5,0.5,10.0,0.191
475.0,1.5,1.0,0.5,0.037
475.0,1.5,1.0,1.0,0.052
475.0,1.5,1.0,1.5,0.084
475.0,1.5,1.0,2.0,0.112
475.0,1.5,1.0,2.5,0.143
475.0,1.5,1.0,5.0,0.232
475.0,1.5,1.0,10.0,0.371
475.0,1.5,1.5,0.5,0.041
475.0,1.5,1.5,1.0,0.089
475.0,1.5,1.5,1.5,0.125
475.0,1.5,1.5,2.0,0.163
475.0,1.5,1.5,2.5,0.197
475.0,1.5,1.5,5.0,0.33
475.0,1.5,1.5,10.0,0.509
500.0,0.5,0.5,0.5,0.029
500.0,0.5,0.5,1.0,0.044
500.0,0.5,0.5,1.5,0.079
500.0,0.5,0.5,2.0,0.104
500.0,0.5,0.5,2.5,0.114
500.0,0.5,0.5,5.0,0.221
500.0,0.5,0.5,10.0,0.357
500.0,0.5,1.0,0.5,0.054
500.0,0.5,1.0,1.0,0.1
500.0,0.5,1.0,1.5,0.144
500.0,0.5,1.0,2.0,0.184
500.0,0.5,1.0,2.5,0.236
500.0,0.5,1.0,5.0,0.384
500.0,0.5,1.0,10.0,0.591
500.0,0.5,1.5,0.5,0.081
500.0,0.5,1.5,1.0,0.152
500.0,0.5,1.5,1.5,0.218
500.0,0.5,1.5,2.0,0.268
500.0,0.5,1.5,2.5,0.33
500.0,0.5,1.5,5.0,0.529
500.0,0.5,1.5,10.0,0.76
500.0,1.0,0.5,0.5,0.028
500.0,1.0,0.5,1.0,0.047
500.0,1.0,0.5,1.5,0.064
500.0,1.0,0.5,2.0,0.101
500.0,1.0,0.5,2.5,0.123
500.0,1.0,0.5,5.0,0.201
500.0,1.0,0.5,10.0,0.299
500.0,1.0,1.0,0.5,0.052
500.0,1.0,1.0,1.0,0.091
500.0,1.0,1.0,1.5,0.14
500.0,1.0,1.0,2.0,0.192
500.0,1.0,1.0,2.5,0.226
500.0,1.0,1.0,5.0,0.358
500.0,1.0,1.0,10.0,0.525
500.0,1.0,1.5,0.5,0.085
500.0,1.0,1.5,1.0,0.154
500.0,1.0,1.5,1.5,0.212
500.0,1.0,1.5,2.0,0.271
500.0,1.0,1.5,2.5,0.306
500.0,1.0,1.5,5.0,0.488
500.0,1.0,1.5,10.0,0.685
500.0,1.5,0.5,0.5,0.017
500.0,1.5,0.5,1.0,0.051
500.0,1.5,0.5,1.5,0.08
500.0,1.5,0.5,2.0,0.094
500.0,1.5,0.5,2.5,0.111
500.0,1.5,0.5,5.0,0.177
500.0,1.5,0.5,10.0,0.245
500.0,1.5,1.0,0.5,0.058
500.0,1.5,1.0,1.0,0.089
500.0,1.5,1.0,1.5,0.145
500.0,1.5,1.0,2.0,0.179
500.0,1.5,1.0,2.5,0.212
500.0,1.5,1.0,5.0,0.319
500.0,1.5,1.0,10.0,0.451
500.0,1.5,1.5,0.5,0.069
500.0,1.5,1.5,1.0,0.151
500.0,1.5,1.5,1.5,0.199
500.0,1.5,1.5,2.0,0.259
500.0,1.5,1.5,2.5,0.303
500.0,1.5,1.5,5.0,0.446
500.0,1.5,1.5,10.0,0.631
525.0,0.5,0.5,0.5,0.038
525.0,0.5,0.5,1.0,0.09
525.0,0.5,0.5,1.5,0.123
525.0,0.5,0.5,2.0,0.153
525.0,0.5,0.5,2.5,0.191
525.0,0.5,0.5,5.0,0.304
525.0,0.5,0.5,10.0,0.473
525.0,0.5,1.0,0.5,0.085
525.0,0.5,1.0,1.0,0.158
525.0,0.5,1.0,1.5,0.225
525.0,0.5,1.0,2.0,0.291
525.0,0.5,1.0,2.5,0.335
525.0,0.5,1.0,5.0,0.522
525.0,0.5,1.0,10.0,0.745
525.0,0.5,1.5,0.5,0.13
525.0,0.5,1.5,1.0,0.233
525.0,0.5,1.5,1.5,0.321
525.0,0.5,1.5,2.0,0.399
525.0,0.5,1.5,2.5,0.452
525.0,0.5,1.5,5.0,0.693
525.0,0.5,1.5,10.0,0.886
525.0,1.0,0.5,0.5,0.044
525.0,1.0,0.5,1.0,0.07
525.0,1.0,0.5,1.5,0.102
525.0,1.0,0.5,2.0,0.144
525.0,1.0,0.5,2.5,0.166
525.0,1.0,0.5,5.0,0.264
525.0,1.0,0.5,10.0,0.38
525.0,1.0,1.0,0.5,0.073
525.0,1.0,1.0,1.0,0.16
525.0,1.0,1.0,1.5,0.207
525.0,1.0,1.0,2.0,0.269
525.0,1.0,1.0,2.5,0.318
525.0,1.0,1.0,5.0,0.48
525.0,1.0,1.0,10.0,0.641
525.0,1.0,1.5,0.5,0.127
525.0,1.0,1.5,1.0,0.216
525.0,1.0,1.5,1.5,0.31
525.0,1.0,1.5,2.0,0.373
525.0,1.0,1.5,2.5,0.432
525.0,1.0,1.5,5.0,0.634
525.0,1.0,1.5,10.0,0.803
525.0,1.5,0.5,0.5,0.045
525.0,1.5,0.5,1.0,0.066
525.0,1.5,0.5,1.5,0.105
525.0,1.5,0.5,2.0,0.122
525.0,1.5,0.5,2.5,0.146
525.0,1.5,0.5,5.0,0.227
525.0,1.5,0.5,10.0,0.298
525.0,1.5,1.0,0.5,0.086
525.0,1.5,1.0,1.0,0.137
525.0,1.5,1.0,1.5,0.206
525.0,1.5,1.0,2.0,0.244
525.0,1.5,1.0,2.5,0.278
525.0,1.5,1.0,5.0,0.425
525.0,1.5,1.0,10.0,0.552
525.0,1.5,1.5,0.5,0.114
525.0,1.5,1.5,1.0,0.215
525.0,1.5,1.5,1.5,0.279
525.0,1.5,1.5,2.0,0.342
