T,PA0,tf,Pf
225.0,2.0,1.0,5.97
225.0,2.0,2.0,5.83
225.0,2.0,3.0,5.84
225.0,2.0,4.0,5.76
225.0,2.0,5.0,5.68
225.0,2.0,6.0,5.6
225.0,2.0,7.0,5.53
225.0,2.0,8.0,5.54
225.0,2.0,9.0,5.5
225.0,2.0,10.0,5.36
225.0,2.0,11.0,5.39
225.0,2.0,12.0,5.3
225.0,2.0,13.0,5.3
225.0,2.0,14.0,5.26
225.0,2.0,15.0,5.17
225.0,2.0,16.0,5.2
225.0,2.0,17.0,5.07
225.0,2.0,18.0,5.07
225.0,2.0,19.0,5.06
225.0,2.0,20.0,4.99
225.0,2.0,21.0,4.98
225.0,2.0,22.0,4.94
225.0,2.0,23.0,4.94
225.0,2.0,24.0,4.86
225.0,3.0,1.0,5.91
225.0,3.0,2.0,5.85
225.0,3.0,3.0,5.74
225.0,3.0,4.0,5.66
225.0,3.0,5.0,5.58
225.0,3.0,6.0,5.52
225.0,3.0,7.0,5.43
225.0,3.0,8.0,5.35
225.0,3.0,9.0,5.27
225.0,3.0,10.0,5.28
225.0,3.0,11.0,5.16
225.0,3.0,12.0,5.16
225.0,3.0,13.0,5.05
225.0,3.0,14.0,5.01
225.0,3.0,15.0,4.99
225.0,3.0,16.0,4.95
225.0,3.0,17.0,4.84
225.0,3.0,18.0,4.85
225.0,3.0,19.0,4.75
225.0,3.0,20.0,4.74
225.0,3.0,21.0,4.72
225.0,3.0,22.0,4.63
225.0,3.0,23.0,4.62
225.0,3.0,24.0,4.54
225.0,4.0,1.0,5.94
225.0,4.0,2.0,5.78
225.0,4.0,3.0,5.75
225.0,4.0,4.0,5.66
225.0,4.0,5.0,5.56
225.0,4.0,6.0,5.48
225.0,4.0,7.0,5.35
225.0,4.0,8.0,5.3
225.0,4.0,9.0,5.26
225.0,4.0,10.0,5.19
225.0,4.0,11.0,5.12
225.0,4.0,12.0,5.1
225.0,4.0,13.0,5.03
225.0,4.0,14.0,4.95
225.0,4.0,15.0,4.91
225.0,4.0,16.0,4.89
225.0,4.0,17.0,4.78
225.0,4.0,18.0,4.72
225.0,4.0,19.0,4.76
225.0,4.0,20.0,4.65
225.0,4.0,21.0,4.63
225.0,4.0,22.0,4.59
225.0,4.0,23.0,4.55
225.0,4.0,24.0,4.49
250.0,2.0,1.0,5.89
250.0,2.0,2.0,5.75
250.0,2.0,3.0,5.59
250.0,2.0,4.0,5.47
250.0,2.0,5.0,5.4
250.0,2.0,6.0,5.28
250.0,2.0,7.0,5.23
250.0,2.0,8.0,5.11
250.0,2.0,9.0,5.1
