CS0,tf,CPf
15.0,5.0,0.35
15.0,10.0,0.9
15.0,15.0,1.26
15.0,20.0,1.69
15.0,25.0,2.72
15.0,30.0,2.96
15.0,35.0,3.65
15.0,40.0,3.97
15.0,45.0,4.15
15.0,50.0,5.1
15.0,55.0,5.56
15.0,60.0,6.16
15.0,65.0,6.22
15.0,70.0,6.71
15.0,75.0,7.26
15.0,80.0,7.42
15.0,85.0,8.35
15.0,90.0,8.3
15.0,95.0,9.22
15.0,100.0,9.58
15.0,105.0,9.5
15.0,110.0,10.0
15.0,115.0,10.94
15.0,120.0,10.67
10.0,5.0,0.45
10.0,10.0,0.98
10.0,15.0,1.28
10.0,20.0,2.2
10.0,25.0,2.64
10.0,30.0,2.52
10.0,35.0,3.52
10.0,40.0,3.53
10.0,45.0,4.28
10.0,50.0,4.53
10.0,55.0,5.08
10.0,60.0,5.4
10.0,65.0,5.42
10.0,70.0,6.45
10.0,75.0,6.38
10.0,80.0,7.14
10.0,85.0,7.5
10.0,90.0,7.73
10.0,95.0,7.86
10.0,100.0,7.83
10.0,105.0,8.3
10.0,110.0,8.24
10.0,115.0,8.9
10.0,120.0,8.75
5.0,5.0,0.01
5.0,10.0,1.18
5.0,15.0,1.13
5.0,20.0,1.7
5.0,25.0,1.83
5.0,30.0,2.12
5.0,35.0,2.77
5.0,40.0,2.77
5.0,45.0,3.02
5.0,50.0,3.33
5.0,55.0,3.28
5.0,60.0,3.75
5.0,65.0,3.93
5.0,70.0,4.59
5.0,75.0,3.96
5.0,80.0,4.83
5.0,85.0,4.28
5.0,90.0,4.62
5.0,95.0,4.79
5.0,100.0,5.18
5.0,105.0,4.79
5.0,110.0,4.73
5.0,115.0,4.9
5.0,120.0,5.21
