T (°C),tau (s),yA_0,CZ_1 (mmol/L)
440.0,30.0,0.1,0.41
440.0,30.0,0.2,0.61
440.0,30.0,0.3,1.42
440.0,30.0,0.4,1.64
440.0,30.0,0.5,2.21
440.0,30.0,0.6,2.43
440.0,30.0,0.7,2.38
440.0,30.0,0.8,2.49
440.0,30.0,0.9,1.73
440.0,40.0,0.1,0.56
440.0,40.0,0.2,1.11
440.0,40.0,0.3,1.7
440.0,40.0,0.4,2.31
440.0,40.0,0.5,2.81
440.0,40.0,0.6,3.27
440.0,40.0,0.7,3.19
440.0,40.0,0.8,3.12
440.0,40.0,0.9,2.09
440.0,50.0,0.1,0.33
440.0,50.0,0.2,1.06
440.0,50.0,0.3,2.11
440.0,50.0,0.4,2.71
440.0,50.0,0.5,3.62
440.0,50.0,0.6,3.89
440.0,50.0,0.7,3.94
440.0,50.0,0.8,3.54
440.0,50.0,0.9,2.59
440.0,60.0,0.1,0.75
440.0,60.0,0.2,1.35
440.0,60.0,0.3,2.45
440.0,60.0,0.4,3.34
440.0,60.0,0.5,4.21
440.0,60.0,0.6,4.74
440.0,60.0,0.7,4.96
440.0,60.0,0.8,4.06
440.0,60.0,0.9,2.94
450.0,30.0,0.1,0.52
450.0,30.0,0.2,1.17
450.0,30.0,0.3,1.44
450.0,30.0,0.4,2.22
450.0,30.0,0.5,2.74
450.0,30.0,0.6,3.15
450.0,30.0,0.7,3.09
450.0,30.0,0.8,2.99
450.0,30.0,0.9,2.05
450.0,40.0,0.1,0.5
450.0,40.0,0.2,1.26
450.0,40.0,0.3,2.13
450.0,40.0,0.4,3.03
450.0,40.0,0.5,3.65
450.0,40.0,0.6,4.19
450.0,40.0,0.7,4.35
450.0,40.0,0.8,3.72
450.0,40.0,0.9,2.36
450.0,50.0,0.1,0.75
450.0,50.0,0.2,1.5
450.0,50.0,0.3,2.45
450.0,50.0,0.4,3.46
450.0,50.0,0.5,4.48
450.0,50.0,0.6,5.11
450.0,50.0,0.7,5.0
450.0,50.0,0.8,4.58
450.0,50.0,0.9,2.85
450.0,60.0,0.1,0.69
450.0,60.0,0.2,1.87
450.0,60.0,0.3,3.2
450.0,60.0,0.4,4.28
450.0,60.0,0.5,5.09
450.0,60.0,0.6,5.96
450.0,60.0,0.7,5.85
450.0,60.0,0.8,5.12
450.0,60.0,0.9,3.43
460.0,30.0,0.1,0.67
460.0,30.0,0.2,1.36
460.0,30.0,0.3,1.9
460.0,30.0,0.4,3.05
460.0,30.0,0.5,3.39
460.0,30.0,0.6,4.2
460.0,30.0,0.7,4.26
460.0,30.0,0.8,3.5
460.0,30.0,0.9,2.57
460.0,40.0,0.1,0.49
460.0,40.0,0.2,1.49
460.0,40.0,0.3,2.65
460.0,40.0,0.4,3.66
460.0,40.0,0.5,4.52
460.0,40.0,0.6,5.29
460.0,40.0,0.7,5.43
460.0,40.0,0.8,4.48
460.0,40.0,0.9,2.76
460.0,50.0,0.1,0.88
460.0,50.0,0.2,2.02
460.0,50.0,0.3,3.15
460.0,50.0,0.4,4.49
460.0,50.0,0.5,5.55
460.0,50.0,0.6,6.25
460.0,50.0,0.7,6.25
460.0,50.0,0.8,5.36
460.0,50.0,0.9,3.41
460.0,60.0,0.1,0.9
460.0,60.0,0.2,2.06
460.0,60.0,0.3,3.84
460.0,60.0,0.4,5.09
460.0,60.0,0.5,6.4
460.0,60.0,0.6,7.56
460.0,60.0,0.7,7.52
460.0,60.0,0.8,6.07
460.0,60.0,0.9,3.57
