A_in,Y_in,Z_in,fA
30.0,0.0,0.0,98.3
30.0,0.0,50.0,90.9
30.0,0.0,100.0,85.5
30.0,0.0,150.0,73.1
30.0,50.0,0.0,93.5
30.0,50.0,50.0,82.5
30.0,50.0,100.0,76.0
30.0,50.0,150.0,65.6
30.0,100.0,0.0,84.0
30.0,100.0,50.0,75.3
30.0,100.0,100.0,65.1
30.0,100.0,150.0,60.2
30.0,150.0,0.0,74.0
30.0,150.0,50.0,67.9
30.0,150.0,100.0,58.7
30.0,150.0,150.0,53.4
60.0,0.0,0.0,92.8
60.0,0.0,50.0,82.7
60.0,0.0,100.0,75.5
60.0,0.0,150.0,67.5
60.0,50.0,0.0,85.6
60.0,50.0,50.0,76.7
60.0,50.0,100.0,66.9
60.0,50.0,150.0,60.0
60.0,100.0,0.0,76.1
60.0,100.0,50.0,68.3
60.0,100.0,100.0,61.4
60.0,100.0,150.0,54.2
60.0,150.0,0.0,66.5
60.0,150.0,50.0,60.0
60.0,150.0,100.0,56.4
60.0,150.0,150.0,51.4
90.0,0.0,0.0,86.4
90.0,0.0,50.0,75.5
90.0,0.0,100.0,67.0
90.0,0.0,150.0,60.5
90.0,50.0,0.0,75.3
90.0,50.0,50.0,69.4
90.0,50.0,100.0,62.3
90.0,50.0,150.0,55.0
90.0,100.0,0.0,69.2
90.0,100.0,50.0,61.4
90.0,100.0,100.0,57.0
90.0,100.0,150.0,52.8
90.0,150.0,0.0,61.0
90.0,150.0,50.0,54.3
90.0,150.0,100.0,51.3
90.0,150.0,150.0,45.9
120.0,0.0,0.0,79.0
120.0,0.0,50.0,70.8
120.0,0.0,100.0,61.9
120.0,0.0,150.0,56.2
120.0,50.0,0.0,70.4
120.0,50.0,50.0,65.0
120.0,50.0,100.0,56.4
120.0,50.0,150.0,50.8
120.0,100.0,0.0,62.0
120.0,100.0,50.0,59.1
120.0,100.0,100.0,51.0
120.0,100.0,150.0,48.5
120.0,150.0,0.0,57.2
120.0,150.0,50.0,54.0
120.0,150.0,100.0,48.9
120.0,150.0,150.0,45.9
150.0,0.0,0.0,69.3
150.0,0.0,50.0,66.2
150.0,0.0,100.0,57.3
150.0,0.0,150.0,53.8
150.0,50.0,0.0,65.2
150.0,50.0,50.0,59.3
150.0,50.0,100.0,51.6
150.0,50.0,150.0,49.9
150.0,100.0,0.0,60.2
150.0,100.0,50.0,52.9
150.0,100.0,100.0,48.5
150.0,100.0,150.0,44.4
150.0,150.0,0.0,51.5
150.0,150.0,50.0,48.2
150.0,150.0,100.0,44.1
150.0,150.0,150.0,40.7
180.0,0.0,0.0,66.4
180.0,0.0,50.0,59.9
180.0,0.0,100.0,53.3
180.0,0.0,150.0,51.0
180.0,50.0,0.0,58.8
180.0,50.0,50.0,53.4
180.0,50.0,100.0,50.3
180.0,50.0,150.0,47.4
180.0,100.0,0.0,54.8
180.0,100.0,50.0,51.0
180.0,100.0,100.0,44.2
180.0,100.0,150.0,43.6
180.0,150.0,0.0,51.9
180.0,150.0,50.0,44.3
180.0,150.0,100.0,43.6
180.0,150.0,150.0,38.4
210.0,0.0,0.0,59.3
210.0,0.0,50.0,57.3
210.0,0.0,100.0,49.7
210.0,0.0,150.0,45.4
210.0,50.0,0.0,56.9
210.0,50.0,50.0,49.6
210.0,50.0,100.0,47.5
210.0,50.0,150.0,43.4
210.0,100.0,0.0,49.2
210.0,100.0,50.0,46.1
210.0,100.0,100.0,45.6
210.0,100.0,150.0,39.5
210.0,150.0,0.0,48.5
210.0,150.0,50.0,43.7
210.0,150.0,100.0,40.9
210.0,150.0,150.0,37.0
240.0,0.0,0.0,55.0
240.0,0.0,50.0,51.5
240.0,0.0,100.0,47.8
240.0,0.0,150.0,43.2
240.0,50.0,0.0,52.0
240.0,50.0,50.0,49.5
240.0,50.0,100.0,46.4
240.0,50.0,150.0,40.3
240.0,100.0,0.0,48.1
240.0,100.0,50.0,46.4
240.0,100.0,100.0,40.0
240.0,100.0,150.0,37.8
240.0,150.0,0.0,44.1
240.0,150.0,50.0,41.0
240.0,150.0,100.0,38.3
240.0,150.0,150.0,35.4
270.0,0.0,0.0,53.4
270.0,0.0,50.0,47.9
270.0,0.0,100.0,43.8
270.0,0.0,150.0,42.7
270.0,50.0,0.0,48.3
270.0,50.0,50.0,44.5
270.0,50.0,100.0,41.4
270.0,50.0,150.0,37.9
270.0,100.0,0.0,45.5
270.0,100.0,50.0,42.1
270.0,100.0,100.0,38.9
270.0,100.0,150.0,35.8
270.0,150.0,0.0,41.7
270.0,150.0,50.0,40.1
270.0,150.0,100.0,35.0
270.0,150.0,150.0,35.9
300.0,0.0,0.0,50.1
300.0,0.0,50.0,46.1
300.0,0.0,100.0,42.3
300.0,0.0,150.0,38.6
300.0,50.0,0.0,48.1
300.0,50.0,50.0,42.8
300.0,50.0,100.0,38.2
300.0,50.0,150.0,36.8
300.0,100.0,0.0,41.3
300.0,100.0,50.0,39.7
300.0,100.0,100.0,37.3
300.0,100.0,150.0,36.8
300.0,150.0,0.0,40.0
300.0,150.0,50.0,39.3
300.0,150.0,100.0,36.1
300.0,150.0,150.0,33.6
